600651,4.87,-6.30,-1.44,0
600673,9.64,-3.86,5.78,0
600693,14.23,-1.74,12.48,3
600742,1.27,-1.05,0.22,0
600755,4.95,-6.23,-1.28,0
600800,23.08,-5.24,17.85,1
600816,8.35,-4.17,4.18,0
600843,19.64,-2.89,16.75,0
600853,14.19,-7.30,6.89,0
600895,3.21,-2.12,1.09,0
600897,17.70,-1.28,16.42,1
600905,7.71,-4.59,3.12,0
600927,4.83,-5.30,-0.47,0
600973,10.01,-4.23,5.78,2
600990,11.82,-1.96,9.86,0
600998,12.25,-1.53,10.72,0
600999,12.71,-2.33,10.38,0
601106,22.48,-1.93,20.55,2
601187,7.36,-1.57,5.79,0
601231,7.64,-5.11,2.52,1
601377,9.90,-3.62,6.28,0
601390,1.89,-5.81,-3.92,0
601528,1.14,-1.74,-0.61,0
601668,3.51,-3.30,0.21,0
601696,12.53,-4.77,7.77,1
601777,8.75,-4.80,3.95,0
601818,5.97,-1.44,4.53,0
601860,1.16,-1.40,-0.25,0
601916,5.08,-0.44,4.64,0
601933,24.84,0.00,24.84,1
601998,4.72,-7.82,-3.10,0
603023,10.85,-2.08,8.77,1
603028,0.35,-5.23,-4.88,0
603042,18.52,-5.20,13.32,1
603090,14.63,-6.35,8.28,1
603212,10.47,-7.30,3.17,1
603232,9.70,-3.92,5.78,1
603239,8.81,-1.29,7.52,0
603256,14.50,-3.92,10.59,2
603278,11.91,-0.13,11.79,1
603316,11.08,-7.22,3.86,1
603327,6.96,-3.23,3.73,3
603360,7.17,-0.46,6.71,0
603363,10.63,-3.31,7.32,0
603528,19.27,0.00,19.27,1
603610,17.14,-2.87,14.28,0
603626,9.89,-2.12,7.77,1
603660,13.16,-1.19,11.98,0
603667,9.89,-2.46,7.44,1
603668,14.17,-4.87,9.30,0
603680,4.19,-0.21,3.98,1
603686,13.16,-2.98,10.18,1
603698,20.88,0.00,20.88,1
603703,9.73,-2.98,6.75,0
603709,6.97,-10.21,-3.24,2
603738,65.38,0.00,65.38,1
603757,11.48,-5.04,6.44,0
603809,6.44,-1.76,4.67,0
603836,16.96,-12.36,4.60,0
603886,3.93,-4.74,-0.82,1
603887,1.96,-0.24,1.73,0
605058,3.47,-7.68,-4.22,0
605090,6.98,-7.00,-0.02,0
605136,13.36,-4.59,8.77,2
605168,13.93,-1.62,12.31,1
605178,11.51,-4.08,7.43,0
688027,13.99,-5.29,8.70,1
688063,5.06,-1.16,3.90,0
688097,12.98,-2.41,10.58,0
688167,10.77,-1.53,9.24,3
688187,2.65,-2.29,0.36,0
688226,15.50,-2.11,13.40,2
688257,12.27,-2.50,9.77,1
688379,9.82,-0.33,9.48,1
688390,2.91,-2.05,0.85,0
688499,8.21,-2.56,5.64,2
688500,23.02,-1.16,21.86,1
688621,0.97,-6.08,-5.11,0
688662,12.73,-1.24,11.48,1
688800,20.27,-4.97,15.30,1
001313,12.15,-3.37,8.78,0
301218,9.91,-8.17,1.75,1
600575,1.43,-4.17,-2.74,0
688325,10.22,-3.61,6.61,1
688290,13.30,-2.25,11.05,0
001309,10.13,-6.66,3.47,1
001236,6.87,-7.92,-1.05,0
001330,8.65,-2.17,6.48,2
001231,5.52,-15.78,-10.25,0
301282,17.03,-1.55,15.48,1
301205,10.05,-1.08,8.98,2
688387,15.12,-4.95,10.17,0
688291,7.31,-2.73,4.59,1
688498,18.48,-0.80,17.68,1
688506,1.57,-5.91,-4.34,0
001360,5.87,-10.67,-4.81,2
301226,6.65,-5.79,0.86,0
688627,3.62,-7.47,-3.85,0
603296,6.27,-3.30,2.97,0
301489,12.07,-3.98,8.09,0
301551,9.00,-4.79,4.21,0
301628,9.68,-1.59,8.08,0
603376,6.96,-1.38,5.58,0
